,min_years_of_experience,min_hourly_salary,max_hourly_salary,min_yearly_salary,max_yearly_salary,required_degree,remote_work,required_skills
45,3.0,,,,,BS,True,"['data management', 'data analysis', 'Excel', 'SQL', 'data visualization', 'statistical software', 'database knowledge', 'project management']"
46,1.0,,,,,BS,True,"['quantitative research', 'data analytics', 'statistical software', 'Microsoft Excel', 'data visualization', 'communication', 'project management', 'detail-oriented', 'flexibility', 'positive attitude']"
47,5.0,,,,,BS,False,"['teamwork', 'communication', 'SDLC', 'ITIL', 'QA/testing', 'Project Management', 'Six Sigma', 'Microsoft SharePoint', 'process certification']"
48,1.0,,,,,BS,False,"['SQL', 'Tableau', 'Power BI', 'Excel', 'Google Sheets', 'statistical analysis', 'data visualization', 'data accuracy']"
49,,,,,,,False,[]
50,3.0,0.0,0.0,114000.0,200000.0,BS,False,"['data analysis', 'SQL', 'Tableau', 'Excel', 'Python', 'R', 'communication', 'collaboration']"
51,8.0,,,157000.0,217500.0,BS,True,"['credit analytics', 'valuation', 'quantitative modeling', 'Python', 'R', 'SQL', 'data modeling', 'data pipelines', 'finance', 'product', 'data engineering', 'machine learning', 'storytelling', 'data visualization']"
52,5.0,,,,,,False,"['Amazon Stack', 'Post greSQL', 'Python', 'S3', 'EDI data', 'investigative data']"
53,7.0,,,,,BS,True,"['data analysis', 'data migration', 'SQL', 'communication', 'problem-solving', 'data quality', 'ETL']"
54,,,,,,BS,False,"['data analysis', 'data visualization', 'data modeling', 'metadata management', 'SQL', 'data warehousing', 'data governance', 'predictive modeling', 'data manipulation', 'DevOps', 'project management']"
55,,,,,,BS,False,"['Data Analysis', 'Power BI', 'Power Automate', 'MS Forms', 'SQL', 'Communication', 'Problem Solving']"
56,6.0,,,,,BS,False,"['data analysis', 'data profiling', 'data engineering', 'business intelligence', 'SQL', 'data warehouses', 'communication', 'data dependencies', 'stakeholder alignment', 'scripting', 'AWS']"
57,2.0,,,,,BS,False,"['data analytics', 'relational databases', 'Power BI', 'Microsoft Word', 'PowerPoint', 'Excel', 'communication', 'attention to detail', 'problem-solving']"
58,2.0,,,100000.0,140000.0,BS,False,"['data analysis', 'reporting', 'data management', 'business insights', 'BI tools', 'SQL', 'Excel', 'Python', 'data visualization', 'communication', 'ETL']"
59,2.0,35.0,40.0,,,,True,"['SQL', 'Python', 'R', 'data visualization', 'Tableau', 'Power BI', 'matplotlib', 'analytical skills', 'communication skills', 'problem-solving']"
60,,30.0,32.0,,,,True,"['model quality evaluation', 'data creation', 'data integrity', 'results analysis', 'analytical skills', 'statistical analysis', 'French Canadian proficiency']"
61,3.0,0.0,0.0,140000.0,160000.0,BS/MS,True,"['data analysis', 'SQL', 'Python', 'R', 'data visualization', 'data warehousing', 'communication', 'problem-solving']"
62,2.0,,,70000.0,85000.0,BS,False,"['Excel', 'SQL', 'Power BI', 'Python', 'R', 'Microsoft Office']"
63,,,,200000.0,250000.0,,False,"['data analytics', 'operations', 'statistics', 'data processing', 'Python', 'SQL', 'Excel']"
64,5.0,,,,,,False,"['Enterprise Third Party Risk Management', 'Data Analysis', 'Data Aggregation', 'Microsoft Excel', 'Tableau', 'PowerPoint', 'SharePoint', 'Word', 'Adobe', 'PowerPoint presentations', 'Initiative', 'Data discrepancies', 'Communication skills', 'Team collaboration', 'Project prioritization']"
65,3.0,,,75000.0,100000.0,BS,True,"['SQL', 'Google Sheets', 'data visualization', 'dashboards', 'data analysis', 'Python', 'data pipelines']"
66,,20.0,25.0,,,BS,False,"['communication', 'analytical', 'client service', 'detail oriented', 'integrity', 'organizational', 'Power BI', 'Excel']"
67,5.0,,,70000.0,80000.0,BS,False,"['data analysis', 'Power BI', 'problem-solving', 'communication', 'data modeling', 'DAX', 'ETL']"
68,,26.0,26.0,,,BS,True,"['data analysis', 'SQL', 'data visualization', 'Microsoft Office', 'problem-solving', 'communication']"
69,5.0,,,,,BS,False,"['SAS programming', 'SQL', 'data visualization', 'statistical analysis', 'problem-solving', 'analytical thinking', 'communication']"
70,2.0,,,,,,False,"['analytical mindset', 'Google Sheets', 'Excel', 'data visualization', 'dashboarding', 'Tableau', 'SQL', 'Salesforce', 'communication']"
71,,20.0,20.0,,,,False,"['SQL', 'Data Visualization', 'Statistical Analysis', 'Python Programming', 'ETL']"
72,,40.0,40.0,,,,False,"['SQL', 'Python', 'R', 'data visualization', 'Tableau', 'Power BI', 'matplotlib', 'analytical skills', 'problem-solving', 'communication']"
73,,21.0,25.0,,,BS,False,"['data analytics', 'data science', 'Python', 'SQL', 'data analysis', 'Microsoft Office']"
74,3.0,,,95000.0,135000.0,BS,False,"['data analytics', 'Tableau', 'Python', 'SQL']"
75,4.0,50.0,70.0,104000.0,146000.0,BS,False,"['SQL', 'Tableau', 'Excel', 'data analysis', 'data visualization', 'cross-functional collaboration', 'quantitative analysis', 'reporting']"
76,,,,,,,False,"['Excel', 'quality control', 'data entry', 'independent work', 'time management']"
77,1.0,,,60000.0,80000.0,BS,True,"['data analysis', 'reporting', 'Power BI', 'SQL', 'statistics', 'communication', 'problem-solving', 'programming', 'data mining']"
78,3.0,,,,,BS,False,"['data analysis', 'reporting', 'data visualization', 'SQL', 'data mining', 'automating processes', 'ETL']"
79,0.0,,,,,BS,False,"['data analysis', 'data visualization', 'data reporting', 'collaboration', 'quality assurance', 'analytical skills', 'communication skills', 'team collaboration']"
80,2.0,,,,,BS,True,"['data analysis', 'forecasting', 'Excel', 'data visualization', 'SQL', 'communication', 'organization']"
81,4.0,,,104000.0,146000.0,BS,False,"['data analysis', 'SQL', 'Tableau', 'Excel', 'communication', 'organizational skills']"
82,1.0,,,67725.0,116835.0,Associate's Degree,False,"['SQL', 'Databricks', 'Python', 'Claims knowledge']"
83,4.0,,,104000.0,146000.0,BS,False,"['data analysis', 'Tableau', 'SQL', 'Excel', 'business intelligence', 'communication']"
84,2.0,,,,,BS/MS,True,"['SQL', 'Python', 'R', 'A/B testing', 'data analysis', 'financial services', 'business intelligence']"
85,5.0,,,100000.0,150000.0,BS,True,"['data analysis', 'Microsoft Office', 'communication', 'data governance', 'reporting', 'analytics', 'DHS experience', 'client liaison', 'emerging technology']"
86,,,,,,BS,True,"['Tableau', 'SQL', 'data visualization', 'report automation', 'business process optimization', 'data security', 'problem solving', 'communication']"
87,6.0,,,,,,False,"['data manipulation', 'data visualization', 'geospatial intelligence', 'problem solving', 'data fluency', 'data transformation', 'data wrangling', 'SQL', 'NoSQL', 'R', 'Python', 'Java', 'JavaScript', 'data science methods', 'Git', 'AWS Sagemaker', 'SAS']"
88,3.0,,,95000.0,135000.0,BS,False,"['data analytics', 'Tableau', 'Python', 'SQL']"
89,3.0,,,80000.0,130000.0,,False,"['analytical', 'SQL', 'R', 'Python', 'Tableau', 'automation', 'problem-solving', 'communication']"
90,1.0,,,,,,False,"['Excel', 'Power BI', 'data entry', 'data reporting', 'analytical skills', 'communication skills']"
91,,,,,,BS,False,"['data analysis', 'analytical thinking', 'technical data skills', 'communication', 'relationship building', 'teamwork', 'creative solutions', 'task prioritization']"
92,2.0,,,,,BS,False,"['business analysis', 'data governance', 'data warehousing', 'data cleansing', 'data profiling', 'data modeling', 'business intelligence', 'data sensitivity']"
93,,,,,,,False,"['ETL processes', 'business rules', 'data modeling', 'data mapping', 'data dictionaries', 'reporting', 'visualizations', 'team collaboration']"
94,5.0,,,,,,False,"['SQL Data Analysis', 'SQL Querying', 'Functional Specification Documentation', 'Cross-Functional Initiatives', 'Analytical Strategies', 'Statistical Analysis', 'Reporting', 'Graphing', 'Dashboards', 'MS SQL Server', 'Data Solutions', 'Collaboration', 'Data Extraction', 'Data Manipulation', 'Data Analysis']"
95,,41.0,64.0,,,PhD,False,"['cloud data systems', 'research', 'data exploration', 'machine learning', 'data cleaning', 'data transformation', 'database systems']"
96,1.0,,,90000.0,100000.0,,True,"['Cryptography', 'Encryption', 'PKI', 'Snowflake', 'SQL', 'Collaboration']"
97,1.0,50.0,60.0,,,BS,False,"['data querying', 'SQL', 'TOAD', 'Tableau', 'Excel', 'data analysis', 'performance', 'attribution', 'fixed income', 'risk', 'reporting', 'visualization', 'AI/ML', 'R', 'Python', 'Scala', 'asset allocation', 'project management', 'analytical skills']"
98,,,,,,,True,"['data analysis', 'Tableau', 'PowerBI', 'Looker', 'analytical skills', 'problem-solving', 'communication', 'presentation', 'Microsoft Excel', 'iWork Suite', 'Apple Pay ecosystem', 'contact centers']"
99,,26.0,26.0,,,,False,"['data analytics', 'data science', 'Python', 'R', 'SQL', 'Microsoft Office', 'problem solving', 'business analysis', 'communication', 'interpersonal skills']"
100,,,,,,,False,"['Alteryx', 'data analysis', 'data preparation', 'automated workflows', 'data visualization', 'data cleansing', 'predictive modeling', 'macros', 'data comparison', 'SQL']"
101,,23.0,32.0,,,BS/MS,True,"['data analysis', 'programming', 'SQL', 'Python', 'UI/UX', 'ETL', 'data visualization']"
102,5.0,,,,,BS/MS,True,"['data analysis', 'SQL', 'data warehousing', 'ETL', 'leadership', 'mentorship']"
103,5.0,,,,,BS,False,"['SQL', 'Python', 'data visualization']"
104,0.0,,,,,BS/MS,False,"['Python', 'R', 'statistical analysis', 'data visualization', 'mathematics']"
105,,,,,,,False,"['Data Analysis', 'Data Visualization', 'Statistical Analysis', 'Database Management', 'Problem-solving', 'Attention to Detail']"
106,5.0,,,,,BS,False,"['data analysis', 'healthcare analytics', 'business intelligence', 'complex data analysis', 'workforce modeling', 'health informatics', 'stakeholder management', 'project management', 'communication', 'teamwork']"
107,4.0,,,110900.0,184800.0,BS/MS,False,"['data analysis', 'people analytics', 'statistical analysis', 'data visualization']"
108,6.0,,,157000.0,217500.0,BS,True,"['data analysis', 'analytics tools', 'communication skills', 'analytical storytelling', 'A/B testing', 'data science techniques', 'mentoring']"
109,3.0,,,,,BS,False,"['SharePoint', 'Power BI', 'Power Automate', 'TypeScript', 'React', 'Angular', 'Python', 'PowerShell', 'Bash', 'DAX', 'Power Query']"
110,,,,,,BS/MS,True,"['technical skills', 'data analysis', 'statistics', 'hypothesis testing', 'leadership', 'communication', 'strategic thinking', 'problem-solving', 'teamwork']"
111,1.0,,,87000.0,105000.0,,True,"['data quality', 'data analysis', 'SQL', 'risk reporting', 'data governance', 'data mapping', 'data visualization', 'business analytics', 'data protection', 'data management']"
112,3.0,52.0,55.0,,,BS,True,"['Business Analysis', 'Data Analysis', 'SQL']"
113,,,,,,BS,True,"['data analysis', 'data engineering', 'Power BI', 'SQL', 'Python', 'R', 'Tableau', 'analytical skills', 'problem-solving', 'communication', 'collaboration', 'geospatial analysis', 'database management']"
114,,,,75000.0,115000.0,BS,True,"['data analysis', 'SQL', 'Excel', 'data visualization', 'Python', 'R', 'problem-solving', 'communication', 'attention to detail']"
115,2.0,,,,,BS,False,"['data pipelines', 'data governance', 'business intelligence', 'communication skills', 'attention to detail', 'data products', 'Domo', 'Tableau', 'PowerBI']"
116,2.0,,,,,MS/BS,False,"['SAS programming', 'data management', 'clinical trials', 'custom reporting', 'Python', 'Business Objects', 'data integrity', 'communication', 'teamwork']"
117,2.0,40.0,45.0,,,BS,True,"['data analysis', 'data validation', 'process controls', 'Excel', 'presentation skills']"
118,,,,100000.0,500000.0,,False,"['data transformation', 'dashboard building', 'SQL', 'data modeling', 'collaboration', 'data visualization', 'emerging analytics']"
119,5.0,,,,,BS,False,"['data analysis', 'data visualization', 'data modeling', 'data science', 'data warehousing', 'Python', 'R', 'communication', 'time management']"
120,5.0,,,,,BS,False,"['data analysis', 'digital operations', 'data governance', 'marketing operations', 'Google Analytics', 'advanced Excel', 'ERP systems', 'MS PowerBI']"
121,,,,,,,False,"['logistics coordination', 'Excel', 'SQL', 'data analysis', 'communication', 'problem-solving']"
122,0.0,,,60000.0,75000.0,"Undergraduate or graduate degree in Math, Computer Science, Data Science or a related discipline preferred",False,"['programming', 'SAS', 'Python', 'R', 'Linux', 'Hadoop', 'SQL', 'linear algebra', 'statistical methods', 'machine learning', 'MS Excel', 'quantitative skills', 'data manipulation', 'communication skills']"
123,,,,,,BS,False,"['Data collection', 'Data Analysis', 'Reporting', 'Market research', 'Fillet production', 'Microsoft Office', 'Power BI', 'SQL', 'Python']"
124,,,,,,BS,False,"['Snowflake', 'Power BI', 'dbt', 'GitLab', 'Python', 'SQL', 'Tableau', 'Domo', 'R', 'SQL Server', 'Elasticsearch', 'Kibana', 'Grafana', 'visual design', 'communication', 'attention to detail']"
125,,,,,,,True,"['data collection', 'data analysis', 'report generation', 'communication', 'SQL', 'data visualization', 'team collaboration', 'problem solving']"
126,1.0,,,,,BS,False,"['Excel', 'SQL', 'Python', 'R', 'data visualization', 'quantitative analysis', 'data manipulation']"
127,,,,,,,False,"['data analysis', 'SQL', 'Python', 'communication', 'critical thinking']"
128,,,,83000.0,98000.0,BS,False,"['Statistical modeling', 'Literature review', 'Data presentation', 'Machine learning', 'Data cleaning', 'Data analysis', 'Research']"
129,3.0,,,,,BS,False,"['data analysis', 'data mining', 'Power BI', 'Microsoft Excel', 'SQL', 'data modeling', 'data visualization', 'problem-solving', 'organization']"
130,5.0,,,,,,True,"['Python', 'Oracle SQL', 'data extraction', 'data analysis', 'healthcare', 'claims data', 'data modeling']"
131,3.0,,,67200.0,86400.0,BS,False,"['data analysis', 'trend forecasting', 'product development', 'collaboration', 'communication']"
132,5.0,,,,,BS,True,"['Data Analysis', 'ETL', 'Data Validation', 'Problem Solving', 'Collaboration', 'Documentation']"
133,1.0,,,,,,False,"['pipeline management', 'Business Intelligence research', 'CRM tool', 'analytical skills', 'Proposal management', 'communication skills', 'organizational skills', 'cross-functional collaboration', 'MS Office Suite', 'Adobe Acrobat']"
134,2.0,,,62060.0,66387.0,BS,True,"['data analysis', 'fundraising', 'compliance', 'analytical skills', 'data accuracy', 'SQL', 'e-CRM', 'Mailchimp', 'Salesforce', 'BI tools', 'communication', 'problem-solving', 'project management', 'Microsoft Office']"
135,3.0,,,,,BS,False,"['SQL', 'data analysis', 'Snowflake', 'Microsoft Office', 'JIRA', 'data analysis tools', 'financial industry']"
136,4.0,,,110900.0,184800.0,BS/MS,False,"['data analysis', 'people analytics', 'statistical analysis', 'data visualization', 'communication skills', 'problem-solving']"
137,5.0,,,90000.0,120000.0,BS/MS,True,"['ETL', 'Spark', 'PySpark', 'Python', 'SQL', 'Apache Airflow', 'GitHub', 'AWS', 'EMR', 'data validation', 'data analysis', 'Excel', 'Tableau', 'Salesforce', 'Kibana']"
138,5.0,,,,,,False,"['Tableau', 'SQL', 'Python', 'probability theory', 'statistical analysis']"
139,,,,,,BS/MS,False,"['Java', 'software development life cycle', 'Core Java', 'JavaScript', 'C++', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'Time series analysis']"
140,2.0,,,,,,True,"['Financial Crimes', 'investigative experience', 'Oracle', 'PL/SQL', 'Microsoft SQL Server', 'T-SQL', 'analytics tools', 'R', 'Python', 'Alteryx', 'reporting tools', 'PowerBI', 'Tableau', 'Excel']"
141,4.0,,,,,BS,True,"['budget analysis', 'forecast modeling', 'data analysis', 'data visualization', 'Microsoft Excel', 'reporting']"
142,3.0,,,,,BS/MS,False,"['SQL', 'data visualization', 'Python', 'R', 'GitHub', 'Salesforce', 'analytics', 'communication', 'problem solving', 'adaptability']"
143,5.0,,,,,,False,"['data analysis', 'data strategy', 'Adobe Analytics', 'Google Analytics', 'SQL', 'data visualization', 'A/B testing', 'multivariate testing', 'conversion rate optimization', 'data storytelling', 'communication skills', 'problem-solving', 'collaboration', 'technical aptitude']"
144,,26.0,26.0,,,BS,False,"['data analytics', 'Google Analytics', 'SQL', 'Microsoft Office', 'communication', 'problem solving', 'critical thinking', 'data interpretation', 'organization']"
145,2.0,,,,,BS,False,"['finance', 'accounting', 'data analysis', 'Power BI', 'Excel', 'reporting']"
146,3.0,,,60400.0,137000.0,BS,True,"['data visualization', 'Python', 'SQL', 'data pipelines', 'ETL', 'statistical analysis', 'dashboards', 'communication']"
147,,,,,,High school diploma or GED,False,"['Analytical background', 'SAP B1', 'Excel VBA', 'Python', 'SQL']"
148,3.0,,,114000.0,142500.0,BS,False,"['analytics', 'problem solving', 'data analysis', 'decision making', 'communication', 'cross-functional', 'SQL', 'Excel', 'Python']"
149,,,,,,,True,"['Data Modeling', 'SQL', 'Python ETL', 'Pandas', 'SqlAlchemy', 'ETL tools', 'Google Cloud Platform', 'Data Warehouse methodologies', 'CI/CD tools', 'reporting tools', 'public health data', 'code quality assurance']"
150,2.0,,,75145.0,112717.0,BS,False,"['data analytics', 'communication', 'Snowflake', 'Tableau', 'SQL', 'dashboard development']"
151,,,,,,MS,False,"['Requirement Gathering', 'Agile methodology', 'user stories', 'roadmaps', 'SDLC', 'communication', 'analytical skills', 'testing', 'use cases']"
152,,,,,,BS,False,"['data analysis', 'data management', 'data visualization', 'analytics', 'communication', 'design skills', 'attention to detail', 'cybersecurity']"
153,3.0,,,,,BS,True,"['SQL', 'Python', 'PySpark', 'data analysis', 'dashboard development', 'data visualization']"
154,1.0,,,,,BS,False,"['analytical', 'data visualization', 'Microsoft Excel', 'PowerPoint', 'problem-solving', 'presentation skills', 'time management', 'data analysis']"
155,,,,,,Bachelor’s or Master’s,True,"['data visualization', 'data validation', 'environmental themes', 'data analytics', 'attention to detail']"
156,2.0,,,,,BS,False,"['analytics', 'SQL', 'Excel', 'programming', 'statistical analysis']"
157,,,,,,BS,False,"['data analysis', 'reporting', 'database tools', 'dashboards', 'data extraction']"
158,2.0,,,,,,False,"['communication', 'SQL']"
159,5.0,,,,,BS,False,"['customer experience data', 'Qlik sense', 'SQL', 'data visualization', 'business process mapping']"
160,5.0,,,130000.0,232000.0,BS,False,"['data analysis', 'visualization', 'SQL', 'data pipelines', 'data visualization tool']"
161,2.0,,,90300.0,168000.0,BS,False,"['analytics', 'data mining', 'reporting', 'data cleansing', 'data modeling', 'relational databases', 'advanced SQL', 'data blending', 'dashboard design', 'statistics', 'project management', 'data visualization']"
162,2.0,25.0,28.0,,,,False,"['Data Analytics', 'SQL', 'Excel']"
163,7.0,,,130000.0,170000.0,BS,False,"['data analysis', 'HR processes', 'recruiting processes', 'project management', 'Excel', 'SQL', 'R', 'Python', 'dashboards', 'Looker', 'Tableau', 'ATS systems', 'HRIS systems']"
164,2.0,,,,,Four-year degree,False,"['syndicated data', 'insights', 'data analysis', 'communication skills', 'Microsoft Excel', 'PowerPoint', 'Word']"
165,3.0,,,105000.0,115000.0,BS/MS,True,"['data analysis', 'communication', 'project execution', 'problem-solving', 'data visualization', 'healthcare knowledge']"
166,2.0,,,,,,True,"['client strategy', 'data analysis', 'training', 'relationship management', 'analytics', 'Excel', 'PowerPoint', 'syndicated data']"
167,,,,160000.0,210000.0,,True,"['B2B marketing analytics', 'paid acquisition', 'attribution', 'SQL', 'data models', 'query performance', 'data visualization', 'business intelligence', 'communication skills', 'project management', 'exploratory analysis', 'data-driven decision making', 'technical lead experience', 'forecasting', 'predictive modeling', 'operational tools', 'systems integration', 'Python', 'R']"
168,1.0,,,,,BS,True,"['SQL', 'Tableau', 'data analysis', 'data visualization', 'statistical analysis', 'trend analysis']"
169,5.0,,,,,BS,True,"['data analysis', 'programming', 'automation', 'data management', 'logistics', 'data visualization', 'communication', 'data quality', 'database design']"
170,3.0,,,,,BS,True,"['data analysis', 'SQL', 'Excel', 'data visualization', 'communication', 'presentation', 'data governance', 'JIRA', 'reporting']"
171,5.0,,,,,BS/MS,False,"['Tableau', 'Data Visualization', 'SQL', 'Project Management', 'Data Analysis', 'Problem Solving', 'Mentoring', 'Leadership']"
172,2.0,,,,,BS,True,"['programming', 'R', 'SAS', 'SQL', 'Python', 'VBA', 'data collection', 'statistical theory', 'data reporting']"
173,10.0,,,,,,False,"['data analysis', 'statistical analysis', 'data visualization', 'data pipeline']"
174,,,,,,,False,"['Python', 'SQL', 'Talend', 'Linked data', 'Analytics', 'Power BI', 'Tableau', 'VBA', 'Data analysis']"
175,,,,,,BS,False,"['SQL', 'Power BI', 'Tableau', 'Qlik', 'DAX', 'Power Query', 'Excel', 'Python', 'R']"
176,4.0,,,130000.0,150000.0,BS,False,"['data analytics', 'email marketing', 'database marketing', 'data integration', 'CRM', 'communication skills', 'Marketing Mix Models', 'Multi-Touch Attribution', 'Customer Segmentation', 'BI Tools', 'SQL', 'Excel', 'Adobe Analytics', 'Google Analytics', 'problem solving']"
